labeler,column,start_date,start_time,end_date,end_time,eat,drink,sleep,chinrest,ride,stand,stand_near_fence,gone,Estrus_stage,Hours_til_estrus
ARIS group 3,"cow-c
 (black-pattern)",4/3/2024,12:00:00,4/4/2024,12:00:00,22953,5173,30403,0,0,24678,3116,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/3/2024,18:00:00,4/4/2024,18:00:00,22306,5078,35365,0,0,16700,6580,0,non-estrus,150
ARIS group 3,"cow-b
 (white-pattern)",4/3/2024,18:00:00,4/4/2024,18:00:00,17252,4539,39632,0,0,17187,7419,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/3/2024,18:00:00,4/4/2024,18:00:00,22310,3967,32024,0,0,25346,2382,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/4/2024,0:00:00,4/5/2024,0:00:00,25448,5742,33155,0,0,14990,7064,0,non-estrus,144
ARIS group 3,"cow-b
 (white-pattern)",4/4/2024,0:00:00,4/5/2024,0:00:00,17930,5456,37353,0,0,18241,7419,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/4/2024,0:00:00,4/5/2024,0:00:00,24364,4819,31490,0,0,23394,2332,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/4/2024,6:00:00,4/5/2024,6:00:00,25684,5914,35151,0,0,13418,4964,0,non-estrus,138
ARIS group 3,"cow-b
 (white-pattern)",4/4/2024,6:00:00,4/5/2024,6:00:00,17930,5348,37008,0,0,17426,7419,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/4/2024,6:00:00,4/5/2024,6:00:00,24587,4753,30996,0,0,22463,2332,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/4/2024,12:00:00,4/5/2024,12:00:00,23933,4335,35151,17,0,12448,10283,0,non-estrus,132
ARIS group 3,"cow-b
 (white-pattern)",4/4/2024,12:00:00,4/5/2024,12:00:00,15160,6325,39750,0,0,16833,8099,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/4/2024,12:00:00,4/5/2024,12:00:00,22621,5725,30996,99,0,22458,4268,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/4/2024,18:00:00,4/5/2024,18:00:00,23886,2275,35824,17,0,9531,14075,0,non-estrus,126
ARIS group 3,"cow-b
 (white-pattern)",4/4/2024,18:00:00,4/5/2024,18:00:00,13808,4186,39890,0,0,13573,14151,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/4/2024,18:00:00,4/5/2024,18:00:00,24276,4518,31705,99,0,19412,5598,0,non-estrus,no data
ARIS group 3,"cow-a
 (black)",4/5/2024,0:00:00,4/5/2024,23:59:59,22638,1106,34464,17,0,12004,14441,0,non-estrus,120
ARIS group 3,"cow-b
 (white-pattern)",4/5/2024,0:00:00,4/5/2024,23:59:59,15264,2877,36068,0,0,15763,14698,0,non-estrus,no data
ARIS group 3,"cow-c
 (black-pattern)",4/5/2024,0:00:00,4/5/2024,23:59:59,24278,2923,29626,99,0,21931,5813,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,0:00:00,4/7/2024,0:00:00,19810,2306,22560,7,0,24717,16999,0,non-estrus,72
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,0:00:00,4/7/2024,0:00:00,13937,3213,40324,0,0,17117,11777,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,0:00:00,4/7/2024,0:00:00,11108,3905,37816,47,0,28331,5192,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,6:00:00,4/7/2024,6:00:00,19853,2632,22177,7,0,24693,16648,0,non-estrus,66
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,6:00:00,4/7/2024,6:00:00,13937,3631,36891,0,0,20092,11428,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,6:00:00,4/7/2024,6:00:00,11234,4155,38463,0,0,27090,5068,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,12:00:00,4/7/2024,12:00:00,21089,2077,21452,218,0,21237,20270,0,non-estrus,60
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,12:00:00,4/7/2024,12:00:00,15594,3293,32954,2,0,15723,18769,0,non-estrus,no data
ARIS group 4,"cow-c
 (black-pattern)",4/6/2024,12:00:00,4/7/2024,12:00:00,14770,6464,33178,0,0,22511,9420,0,non-estrus,no data
ARIS group 4,"cow-a
 (black)",4/6/2024,18:00:00,4/7/2024,18:00:00,24100,3350,19581,218,0,22901,16235,0,non-estrus,54
ARIS group 4,"cow-b
 (white-pattern)",4/6/2024,18:00:00,4/7/2024,18:00:00,15266,4402,31168,2,0,15416,20131,0,non-estrus,no data
